,單位（12級）,單位序,序,文號,主旨,附件,附件名稱,不歸檔原因,承辦單位,承辦人,保存狀況,0
91,工學院土木系,,76,1063400729,檢送貴單位委託本校土木系洪汶宜助理教授主持之「重力、地震力與降雨引致的邊坡破壞行為模擬研究(II)」計畫編號：106保發-11.1-保-01-06-001(26)之會計報告、成果報告，請惠予查收。,附件2,會計報告,單位自存,工學院土木系,洪汶宜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
92,工學院土木系,,77,1063400729,檢送貴單位委託本校土木系洪汶宜助理教授主持之「重力、地震力與降雨引致的邊坡破壞行為模擬研究(II)」計畫編號：106保發-11.1-保-01-06-001(26)之會計報告、成果報告，請惠予查收。,附件3,簡報檔光碟,單位自存,工學院土木系,洪汶宜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
93,工學院土木系,,78,1063400760,"檢送本校土木系洪汶宜副教授 提報貴局107水土保持創新研發補助計畫, 年度創新研究計畫: 重力、地震力與降雨引致的邊坡破壞行為模擬研究 (III) (編號：107保發-11.1-保-01-06_20171222094457_暫編號) 之計畫說明書二份。請惠予查收。",附件1,計畫書,單位自存,工學院土木系,洪汶宜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
94,工學院土木系,,79,1063400544,檢送貴單位委託本校土木系周憲德教授辦理之「土石流潛勢溪流之地文因子綜整判定」106保發-11.1-保-01-06-001(3)之會計報表、第二期款新台幣參拾萬元整本校統一收據乙紙及期末成果報告，敬請查核辦理。,附件1,光碟1份(含期末成果報告、期末簡報之電子檔),單位自存,工學院土木系,張素雲,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
95,工學院土木系,,80,1063400544,檢送貴單位委託本校土木系周憲德教授辦理之「土石流潛勢溪流之地文因子綜整判定」106保發-11.1-保-01-06-001(3)之會計報表、第二期款新台幣參拾萬元整本校統一收據乙紙及期末成果報告，敬請查核辦理。,附件2,期末成果報告書10份。,單位自存,工學院土木系,張素雲,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
96,工學院土木系,,81,1063400544,檢送貴單位委託本校土木系周憲德教授辦理之「土石流潛勢溪流之地文因子綜整判定」106保發-11.1-保-01-06-001(3)之會計報表、第二期款新台幣參拾萬元整本校統一收據乙紙及期末成果報告，敬請查核辦理。,附件3,計劃說明書影本,單位自存,工學院土木系,張素雲,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
97,工學院土木系,,82,1079902038,「國5隧道總體檢查工作」第3次專家學者座談會，請撥冗參加。,附件1,開會議程及簡報,已將議程及簡報轉交黃俊鴻老師，故不歸檔。,工學院土木系,張素雲,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
98,工學院土木系,,83,1073400864,本校承辦「內政部委託辦理營造業工地主任課程講習」第107W030WS02期，檢送合格學員潘建嘉等報名資料及執業證申請資料各乙份、新執業證照費用共計壹仟伍佰元正郵局匯票壹份，學員上課簽到光碟，煩請製做學員新執業證，請查收。,附件1,結業資料冊及光碟片,單位自存,工學院土木系,張歆寧,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
99,工學院土木系,,84,1079902344,換發貴校土木工程學系土木材料品保中心（認證縞號：1488)L1488-180903號中、英文認證證書，請查照。,附件1,認證證書,單位抽存(存查單位：存查單位:土木系),工學院土木系,張歆寧,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
100,工學院土木系,,85,1073401155,本校承辦{內政部委託辦理營造業工地主任四年回訓課程講習}第107WS023S02期，檢送合格學員韓治平等39名學員報名資料及執業證聲請資料各乙份、學員舊執業證39份、換發新執業證費用共計壹萬玖仟伍佰元整郵局匯票乙紙及學員上課簽到光碟乙份、煩請製作學員新執業證，請查收。,附件1,結業資料冊及光碟片,單位抽存(存查單位：存查單位:土木系),工學院土木系,張歆寧,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
101,工學院土木系,,86,1083400464,檢送本校辦理貴部之「內政部委託辦理營造業工地主任220小時職能訓練課程講習課程」擬新增許維庭先生等共兩位授課講師課程，檢附師資經歷證明及授課同意書乙份，請照查。,附件1,經歷證明及授課同意書,單位抽存(存查單位：土木系),工學院土木系,張歆寧,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
102,工學院土木系,,87,1073400645,檢送貴局委託本校土木系黃偉慶教授之「107年用過核子燃料處置安全審驗及平行驗證技術建立」委託研究案期中報告子計畫一至子計畫四各兩份，共八份，請查照。隨函並檢附第二期款新臺幣壹佰陸拾萬元整統一收據乙紙，敬請惠予撥款。,附件1,期中報告,單位自存,工學院土木系,陳冠宇,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
103,工學院土木系,,88,1083400248,檢送貴局委託本校土木系黃偉慶教授辦理「108 年用過核子燃料處置審驗技術研析及驗證工作」採購案號（108FCMA001）委託研究計畫契約書正本乙式二份、副本五份及申請計畫經費第一期款計新台幣壹佰壹拾捌萬捌仟元整之統一收據乙紙，敬請用印後擲回契約書正本乙份，並請惠予撥款。,附件1,委託研究計畫契約書正本２本、副本５本,單位抽存(存查單位：單位抽存（存查單位：土木系）),工學院土木系,陳冠宇,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
104,工學院土木系,,89,1079900750,檢送採購案號107FCMA003「107年用過核子燃料處置安全審驗及平行驗證技術建立」委託研究計畫勞務採購案，契約書正本1份，請查照。,附件1,契約書,正本留存土木系,工學院土木系,陳憶婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
105,工學院土木系,,90,1073400442,檢送貴公司委託本校土木系黃偉慶教授辦理「混燒灰渣循環利用作為水泥或混凝土原料之可行性評估」計劃案，本校已用印之契約書正本2份、副本2份，請用印後擲回正本1份、副本1份並附上第一期款新台幣拾陸萬元整統一收據乙紙，敬請惠予撥款。,附件1,契約書正本2份副本2份,擲回後存於土木系,工學院土木系,陳憶婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
106,工學院土木系,,91,1073400468, 檢送貴公司委託本校土木系鐘志忠教授辦理之「低放射性廢棄物最終處置技術精進計畫緩衝材料特性相關試驗」計劃(契約編號7901C-03)，本校已用印之契約書正本2份、副本2份，請用印後擲回正本1份、副本1份，請查照。,附件1,契約書正本2份、副本2份,單位自存,工學院土木系,陳憶婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
107,工學院土木系,,92,1079901205,檢還業經本公司鈴印之「低放射性廢棄物最終處置技術精進計畫緩衝材料特性相關試驗」技術服務分包契約書（7901C-03）正本1份副本1份，敬請查照。,附件1,分包契約書,保存於土木系,工學院土木系,陳憶婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
108,工學院土木系,,93,1073400798,檢送貴公司委託本校土木系黃偉慶教授辦理「區域能資源整合暨效能提升示範輔導計畫之混燒灰渣循環利用作為水泥或混凝土原料可行性評估」計畫，申請計畫經費第二期款計新台幣貳拾捌萬元整統一收據乙紙，敬請惠與撥款惠復。,附件1,契約主文及附件一,單位自存,工學院土木系,陳憶婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
109,工學院土木系,,94,1073400799,檢送貴公司委託本校土木系鐘志忠教授辦理「低放射性廢棄物最終處置技術精進計畫」，申請計畫經費第一期款計新台幣貳百貳拾陸萬貳仟玖佰元整統一收據乙紙，敬請惠與撥款惠復。,附件1,契約主文,單位自存,工學院土木系,陳憶婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
110,工學院土木系,,95,1073401112,檢送貴公司委託本校土木系黃偉慶教授辦理「全國循環專區試點示範推動計畫混燒灰應用之評估研究」計劃案，本校已用印之契約書正本2份、副本2份，請用印後擲回正本1份、副本1份，請查照。,附件1,技術服務分包契約書正本2份、副本2份,單位抽存(存查單位：土木系),工學院土木系,陳憶婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
111,工學院土木系,,96,1083400422,檢送貴公司委託本校土木系黃偉慶教授辦理「混燒灰渣循環利用可行性評估」計劃案，本校已用印之契約書正本2份、副本2份，請用印後擲回正本1份、副本一份，請查照。,附件1,技術服務分包契約書,單位抽存(存查單位：土木系),工學院土木系,陳憶婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
112,工學院土木系,,97,1063400741,檢附土木系陳世晃老師擬申請投標桃園市政府工務局辦理之「107年度瀝青混合料預約式委託試驗」標案相關文件，請核示。,附件1,本校承接產學合作計畫(不含補助類)重要資訊檢核表,單位自存,工學院土木系,陳瓊美,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
